PLOT NUMBER,SIZE PER PLOT, PRICE PER HA , FINAL VALUE ,BUYER'S NAME, DEPOSIT ,BALANCE
G001,0.1869," 205,882,352.00 "," 38,479,411.59 ",,," 38,479,411.59 "
G002,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G003,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G004,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G005,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G006,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G007,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G008,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G009,0.397," 205,882,352.00 "," 81,735,293.74 ",,    ," 81,735,293.74 "
G010,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G011,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G012,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G013,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G014,0.3503," 205,882,352.00 "," 72,120,587.91 ",,," 72,120,587.91 "
G015,0.3515," 205,882,352.00 "," 72,367,646.73 ",,," 72,367,646.73 "
G016,0.3107," 205,882,352.00 "," 63,967,646.77 ",,," 63,967,646.77 "
G017,1.9108," 205,882,352.00 "," 393,399,998.20 ",,," 393,399,998.20 "
G018,1.8586," 205,882,352.00 "," 382,652,939.43 ",,," 382,652,939.43 "
G019,0.5399," 205,882,352.00 "," 111,155,881.84 ",,," 111,155,881.84 "
G020,0.5399," 205,882,352.00 "," 111,155,881.84 ",,," 111,155,881.84 "
G021,0.5399," 205,882,352.00 "," 111,155,881.84 ",,," 111,155,881.84 "
G022,0.5399," 205,882,352.00 "," 111,155,881.84 ",,," 111,155,881.84 "
G023,0.5399," 205,882,352.00 "," 111,155,881.84 ",,," 111,155,881.84 "
G024,0.5399," 205,882,352.00 "," 111,155,881.84 ",,," 111,155,881.84 "
G025,3.4165," 205,882,352.00 "," 703,397,055.61 ",,," 703,397,055.61 "
G026,0.8355," 205,882,352.00 "," 172,014,705.10 ",,," 172,014,705.10 "
G027,0.3142," 205,882,352.00 "," 64,688,235.00 ",,," 64,688,235.00 "
G028,0.36," 205,882,352.00 "," 74,117,646.72 ",,," 74,117,646.72 "
G029,0.36," 205,882,352.00 "," 74,117,646.72 ",,," 74,117,646.72 "
